"Name","Unique_ID__c","Order__c","Target_Field__c","Task_Step__r.Unique_ID__c","Transformation__c"
"MAP00001017","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_EMAIL_ADDRESS_SRC","20.0","EMAIL_ADDRESS_SRC","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","EMAIL_ADDRESS"
"MAP00001018","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_IS_FA","21.0","IS_FA","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","false"
"MAP00001019","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_AUTO_RENEW","22.0","AUTO_RENEW","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","util:decode(AUTO_RENEWAL, '1', true, false)"
"MAP00001020","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_VALIDATION_STATUS","23.0","VALIDATION_STATUS","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","VALIDATION_STATUS"
"MAP00001021","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS_LOAD_TARGET_TRANSFORMATION_ACTIVE","1.0","ACTIVE","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS_STEP_2","""1"""
"MAP00001022","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS_LOAD_TARGET_TRANSFORMATION_PERIOD_FROM","2.0","PERIOD_FROM","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS_STEP_2","util:dateParse(PERIOD_FROM, ""yyyyMMdd HH:mm:ss"")"
"MAP00001023","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS_LOAD_TARGET_TRANSFORMATION_PERIOD_TO","3.0","PERIOD_TO","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS_STEP_2","util:dateParse(PERIOD_TO, ""yyyyMMdd HH:mm:ss"")"
"MAP00001024","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS_LOAD_TARGET_TRANSFORMATION_LAST_UPDATED_DATE","4.0","LAST_UPDATED_DATE","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS_STEP_2","util:dateParse(LAST_UPDATED_DATE, ""yyyy-MM-dd HH:mm:ss"")"
"MAP00001025","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS_LOAD_TARGET_TRANSFORMATION_ID","5.0","ID","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS_STEP_2","""1"""
"MAP00001026","VFGE_OT_SYNC_IMPORT_FLAT_VF_OPCO_LOAD_TRANSFORMATION_LAST_UPDATED_DATE","1.0","LAST_UPDATED_DATE","VFGE_OT_SYNC_IMPORT_FLAT_VF_OPCO_STEP_2","util:dateParse(LAST_UPDATED_DATE,'yyyy-MM-dd HH:mm:ss.S')"
