"Name","Unique_ID__c","Entity__r.Unique_ID__c","Field_Name__c","Order__c","Type__c"
"FLD00001429","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TAX_COMMENTS","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","TAX_COMMENTS","29.0","String"
"FLD00001430","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TAX_APPROVAL_DATE","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","TAX_APPROVAL_DATE","30.0","Date"
"FLD00001431","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_CSS_SIGNED_DATE","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","CSS_SIGNED_DATE","31.0","Date"
"FLD00001432","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_CSS_COMMENTS","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","CSS_COMMENTS","32.0","String"
"FLD00001433","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOA_SIGNED_DATE","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","LOA_SIGNED_DATE","33.0","Date"
"FLD00001434","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOA_COMMENTS","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","LOA_COMMENTS","34.0","String"
"FLD00001435","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_CONTACT_PERSON","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","CONTACT_PERSON","35.0","String"
"FLD00001436","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TEL_NO","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","TEL_NO","36.0","String"
"FLD00001437","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EMAIL_ADDRESS","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","EMAIL_ADDRESS","37.0","String"
"FLD00001438","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TYPE_OF_IOT_DISC_CONTRACT","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","TYPE_OF_IOT_DISC_CONTRACT","38.0","String"
